Altium Designer Pick and Place Locations
C:\Users\swift\AppData\Local\TempReleases\Snapshot\1\Sources\Pick Place\Pick Place for Fairy_Light_Controller_PCB_v1.txt

========================================================================================================================
File Design Information:

Date:       29/08/22
Time:       02:10
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment            Layer    Footprint                  Center-X(mil) Center-Y(mil) Rotation Description                                                                                                    
J5         SV8FW3SS-601       TopLayer SV8FW3SS-601               0.000         0.000         0        ""                                                                                                             
P3         "Debug Header 2"   TopLayer SMTC-TSW-104-08-X-S        2565.000      3290.000      270      "0.025" SQ Post Header, Through-hole, Vertical, -55 to 105 degC, 2.54 mm Pitch, 4-Pin, Male, RoHS"             
R20        91                 TopLayer RESC2013X70X40NL20T20      2710.000      1300.000      90       ""                                                                                                             
R19        91                 TopLayer RESC2013X70X40NL20T20      2710.000      1775.000      90       ""                                                                                                             
R18        91                 TopLayer RESC2013X70X40NL20T20      2710.000      2250.000      90       ""                                                                                                             
R17        91                 TopLayer RESC2013X70X40NL20T20      2710.000      2725.000      90       ""                                                                                                             
R16        91                 TopLayer RESC2013X70X40NL20T20      2710.000      3200.000      90       ""                                                                                                             
R15        91                 TopLayer RESC2013X70X40NL20T20      2710.000      3675.000      90       ""                                                                                                             
R14        91                 TopLayer RESC2013X70X40NL20T20      1890.000      3935.000      180      ""                                                                                                             
R13        91                 TopLayer RESC2013X70X40NL20T20      1035.000      3675.000      90       ""                                                                                                             
R12        91                 TopLayer RESC2013X70X40NL20T20      1035.000      3200.000      90       ""                                                                                                             
R11        91                 TopLayer RESC2013X70X40NL20T20      1035.000      2725.000      90       ""                                                                                                             
R10        91                 TopLayer RESC2013X70X40NL20T20      1035.000      2250.000      90       ""                                                                                                             
R9         91                 TopLayer RESC2013X70X40NL20T20      1035.000      1775.000      90       ""                                                                                                             
R8         91                 TopLayer RESC2013X70X40NL20T20      1035.000      1300.000      90       ""                                                                                                             
R7         91                 TopLayer RESC2013X70X40NL20T20      1470.000      925.000       0        ""                                                                                                             
Q1         "LED Switch"       TopLayer FP-PG-TO263-3-MFG          1405.000      1861.398      180      "MOSFET N-CH 100V 17A D2PAK"                                                                                   
D16        White              TopLayer FP-QBLP650-IW-MFG          2810.000      1300.000      90       "LED WHITE CLEAR 1206 SMD"                                                                                     
D15        White              TopLayer FP-QBLP650-IW-MFG          2810.000      1775.000      90       "LED WHITE CLEAR 1206 SMD"                                                                                     
D14        White              TopLayer FP-QBLP650-IW-MFG          2810.000      2250.000      90       "LED WHITE CLEAR 1206 SMD"                                                                                     
D13        White              TopLayer FP-QBLP650-IW-MFG          2810.000      2725.000      90       "LED WHITE CLEAR 1206 SMD"                                                                                     
D12        White              TopLayer FP-QBLP650-IW-MFG          2810.000      3200.000      90       "LED WHITE CLEAR 1206 SMD"                                                                                     
D11        White              TopLayer FP-QBLP650-IW-MFG          2810.000      3675.000      90       "LED WHITE CLEAR 1206 SMD"                                                                                     
D10        White              TopLayer FP-QBLP650-IW-MFG          1890.000      4065.000      180      "LED WHITE CLEAR 1206 SMD"                                                                                     
D9         White              TopLayer FP-QBLP650-IW-MFG          935.000       3675.000      90       "LED WHITE CLEAR 1206 SMD"                                                                                     
D8         White              TopLayer FP-QBLP650-IW-MFG          935.000       3200.000      90       "LED WHITE CLEAR 1206 SMD"                                                                                     
D7         White              TopLayer FP-QBLP650-IW-MFG          935.000       2725.000      90       "LED WHITE CLEAR 1206 SMD"                                                                                     
D6         White              TopLayer FP-QBLP650-IW-MFG          935.000       2250.000      90       "LED WHITE CLEAR 1206 SMD"                                                                                     
D5         White              TopLayer FP-QBLP650-IW-MFG          935.000       1775.000      90       "LED WHITE CLEAR 1206 SMD"                                                                                     
D4         White              TopLayer FP-QBLP650-IW-MFG          935.000       1300.000      90       "LED WHITE CLEAR 1206 SMD"                                                                                     
D3         White              TopLayer FP-QBLP650-IW-MFG          1270.000      925.000       180      "LED WHITE CLEAR 1206 SMD"                                                                                     
P2         "Debug Header 1"   TopLayer SMTC-TSW-104-08-X-S        1185.000      3295.000      270      "0.025" SQ Post Header, Through-hole, Vertical, -55 to 105 degC, 2.54 mm Pitch, 4-Pin, Male, RoHS"             
Y1         16MHz              TopLayer FP-XRCHA-MFG               2430.000      1490.000      180      "CRYSTAL 16.0000MHZ 8PF SMD"                                                                                   
